acl 2.2.52-3
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.12-1
libsoup 2.58.1-1
libsoxr 0.1.2-1
libssh 0.7.5-2
libssh2 1.8.0-2
libsystemd 232-8
libtasn1 4.12-1
libteam 1.26-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-1
libtiff4 3.9.7-1
libtirpc 1.0.1-3
libtool 2.4.6-8
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunistring 0.9.7-1
libunwind 1.2.1-1
libusb 1.0.21-2
libutempter 1.1.6-2
libutil-linux 2.29.2-2
libuv 1.12.0-1
libva 1.8.2-1
libvdpau 1.1.1-2
libvoikko 4.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvpx1.3 1.3.0-1
libwacom 0.24-1
libwebp 0.6.0-1
libwrap 7.6.24-3
libx11 1.6.5-1
libx264 2:148.20170519-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86vm 1.1.4-1
libzip 1.2.0-1
licenses 20140629-2
linux 4.11.6-1
linux-api-headers 4.10.1-1
linux-firmware 20170422.ade8332-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.12.2-1
lvm2 2.02.171-1
lxappearance 0.6.3-1
lxinput 0.3.5-1
lz4 1:1.7.5-1
lzo 2.10-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.11-1
markdown 1.0.1-6
mdadm 4.0-1
mesa 17.1.3-1
mime-types 9-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-2
mobile-broadband-provider-info 20170310-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mtdev 1.1.5-1
nano 2.8.4-1
ncurses 6.0+20170527-1
ncurses5-compat-libs 6.0+20170527-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.8.2-1
networkmanager 1.8.0-1
networkmanager-openvpn 1.2.10-1
nm-connection-editor 1.8.2-1
npth 1.5-1
nspr 4.15-1
nss 3.31-3
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
ocl-icd 2.2.11-1
openal 1.18.0-1
opencore-amr 0.1.5-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssl 1.1.0.f-1
openssl-1.0 1.0.2.l-1
openvpn 2.4.2-1
opus 1.1.5-1
orc 0.4.26+2+g249c709-1
p11-kit 0.23.7-1
p7zip 16.02-3
package-query 1.8-1
pacman 5.0.2-1
pacman-mirrorlist 20170427-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
pangomm 2.40.1-2
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.23-1
perl 5.26.0-1
perl-error 0.17024-2
perl-switch 2.17-2
perl-xml-parser 2.44-4
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
poppler 0.55.0-3
poppler-qt5 0.55.0-3
popt 1.16-8
ppsspp 1.4.2-1
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 10.0-3
pulseaudio-bluetooth 10.0-3
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-6
python 3.6.1-1
python-cairo 1.13.3-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.24.1-1
python2 2.7.13-2
python2-cairo 1.13.3-1
python2-gobject2 2.28.6-13
python2-virtualenv 15.1.0-1
qpdfview 0.4.17beta1-2
qt4 4.8.7-20
qt5-base 5.9.0-2
qt5-svg 5.9.0-1
qt5-tools 5.9.0-1
randrproto 1.5.0-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rxvt-unicode 9.22-3
rxvt-unicode-terminfo 9.22-3
s-nail 14.8.16-2
sbc 1.3-1
schedtool 1.3.0-3
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
